iter	RMSE
0	77.04800957
1	75.97708976
2	74.8692432
3	73.8871315
4	72.86994136
5	71.90163258
6	71.08254084
7	70.28058834
8	69.49564022
9	68.73186009
10	67.91177429
11	67.1095117
12	66.34260309
13	65.80001119
14	65.17132937
15	64.48615215
16	63.82125319
17	63.12300885
18	62.64873912
19	62.06593303
20	61.54604482
21	61.01499985
22	60.55458564
23	60.03668061
24	59.5272625
25	59.03644972
26	58.51371717
27	58.0591919
28	57.69129463
29	57.31204784
30	56.93392063
31	56.54413115
32	56.05798887
33	55.66724494
34	55.35125401
35	55.00965827
36	54.7222093
37	54.30639642
38	53.97192171
39	53.65587583
40	53.29495468
41	52.94135709
42	52.69138047
43	52.43566139
44	52.15546517
45	51.92361649
46	51.68159411
47	51.43217902
48	51.06870065
49	50.79874163
50	50.49520902
51	50.2445928
52	50.07207951
53	49.79135993
54	49.63124074
55	49.40875873
56	49.14828907
57	48.83119129
58	48.62697693
59	48.41839798
60	48.22254445
61	48.0252207
62	47.82603003
63	47.64471514
64	47.46737911
65	47.31048659
66	47.14324329
67	46.93821189
68	46.74001592
69	46.60922591
70	46.44842883
71	46.29358267
72	46.17550617
73	46.04378523
74	45.87286124
75	45.71715737
76	45.55489226
77	45.38372419
78	45.23336899
79	45.12818682
80	44.97897384
81	44.77231699
82	44.62250656
83	44.48591648
84	44.28692142
85	44.14689039
86	44.01695748
87	43.91627629
88	43.79559316
89	43.69093611
90	43.59760474
91	43.4972725
92	43.378497
93	43.31375297
94	43.19905114
95	43.05817318
96	42.98695362
97	42.92251509
98	42.80219561
99	42.70728707
100	42.60831044
101	42.52088341
102	42.39994661
103	42.30118812
104	42.20604392
105	42.13116114
106	42.0215388
107	41.91665629
108	41.86166081
109	41.71901938
110	41.65576647
111	41.56242195
112	41.4903272
113	41.45039964
114	41.32989658
115	41.22573883
116	41.11077013
117	40.97805725
118	40.84880438
119	40.78117014
120	40.63499707
121	40.52018522
122	40.4610007
123	40.33780604
124	40.2109806
125	40.1407759
126	40.08194374
127	40.0417932
128	39.94374178
129	39.8872929
130	39.73967083
131	39.61205032
132	39.50234977
133	39.42338464
134	39.34477728
135	39.27248022
136	39.22665649
137	39.15871996
138	39.054359
139	38.96941001
140	38.85860344
141	38.73708014
142	38.65128039
143	38.62561834
144	38.50964723
145	38.41375652
146	38.38762269
147	38.36421883
148	38.32908599
149	38.22794996
150	38.11363063
151	38.03391897
152	37.92809715
153	37.86131476
154	37.77136565
155	37.712372
156	37.58298602
157	37.52772147
158	37.41049785
159	37.35884387
160	37.25800146
161	37.22829909
162	37.16044587
163	37.13474541
164	37.05700608
165	36.97728594
166	36.90114834
167	36.82490724
168	36.73854226
169	36.65276724
170	36.59117534
171	36.53756653
172	36.43665621
173	36.35136198
174	36.2899275
175	36.24229223
176	36.20661584
177	36.13544965
178	36.08066235
179	35.99876461
180	35.9789194
181	35.85005261
182	35.74648615
183	35.6417782
184	35.63551639
185	35.57401409
186	35.51802035
187	35.44559425
188	35.35908664
189	35.24736108
190	35.09633116
191	35.01221552
192	34.95181461
193	34.88428123
194	34.81825845
195	34.70196094
196	34.6329088
197	34.55029193
198	34.45145228
199	34.43803588
200	34.38517267
201	34.30197065
202	34.17776061
203	34.13805626
204	34.12598325
205	34.10210735
206	34.0729855
207	33.97418552
208	33.87758296
209	33.77051542
210	33.75329932
211	33.72476639
212	33.61371345
213	33.52382028
214	33.43075398
215	33.42098711
216	33.3951496
217	33.34212311
218	33.26901586
219	33.2099857
220	33.15216973
221	33.14389143
222	33.03007557
223	33.00347275
224	32.9541141
225	32.88200466
226	32.80720384
227	32.75923794
228	32.71137813
229	32.6345949
230	32.55010259
231	32.49228648
232	32.48551971
233	32.42325339
234	32.38073777
235	32.3383239
236	32.32952281
237	32.23916641
238	32.20257398
239	32.15205657
240	32.05544273
241	32.04681174
242	31.97417503
243	31.86616547
244	31.85895866
245	31.73133096
246	31.72310927
247	31.71603417
248	31.70875783
249	31.65055062
250	31.61749886
251	31.56823118
252	31.53146113
253	31.52367929
254	31.42119002
255	31.41384603
256	31.38516648
257	31.28566238
258	31.24742639
259	31.24066165
260	31.20118669
261	31.17032319
262	31.0988848
263	31.02488246
264	30.93719714
265	30.84765406
266	30.82627229
267	30.72774312
268	30.66572813
269	30.62542735
270	30.51189571
271	30.47900051
272	30.3752394
273	30.27730798
274	30.17958801
275	30.11220267
276	30.06735186
277	30.0384261
278	29.93738289
279	29.93109274
280	29.83332719
281	29.77561692
282	29.71151459
283	29.64028266
284	29.63398586
285	29.58104504
286	29.50552668
287	29.46844674
288	29.460088
289	29.45228406
290	29.41302214
291	29.35461265
292	29.28755324
293	29.27881336
